idx,smiles,dG,affinity
4e,CC(=O)N[C@H](CS)C(=O)N[C@H](C)C(=O)N[C@H](Cc1ccc(F)c(NC(N)=[NH2+])c1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-69.7,0.59
6g,CC[C@@H](NC(=O)[C@@H](Cc1cccc(NC(N)=[NH2+])c1)NC(=O)[C@@H](CCCNC(N)=[NH2+])NC(=O)[C@@H](CSSC[C@H]([NH3+])C(=O)[O-])NC(C)=O)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-59.4,1.45
6f,CC[C@@H](NC(=O)[C@@H](CSSC[C@H]([NH3+])C(=O)[O-])NC(C)=O)C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-49.9,1.6
5d,CC(=O)N[C@H](C[S-])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@@H](C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CO)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O)C(C)C,-78.5,0.71
5b,CC(=O)N[C@H](CS)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@@H](C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O)C(C)C,-60.5,0.41
5c,CC[C@@H](NC(=O)[C@@H](C[S-])NC(C)=O)C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CO)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-77.6,0.53
5g,CC(=O)N[C@H](CS)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](CO)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-66.3,0.89
5h,CC(=O)N[C@H](CS)C(=O)N[C@H](Cc1c[nH]cn1)C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-43.8,1.17
6b,CC(=O)N[C@H](CSSCC[C@H]([NH3+])C(=O)[O-])C(=O)N[C@H](C)C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O,-55.6,9.61
6c,CC(=O)N[C@@H](CSSC[C@@H](NC(C)=O)C(=O)N[C@H](C)C(=O)N[C@H](Cc1cccc(NC(N)=[NH2+])c1)C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](CCCNC(N)=[NH2+])C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(N)=[NH2+])C(N)=O)C(=O)[O-],-34.0,42.43
